id_receta,nombre,tipo_cocina,tipo_comida,dieta_compatible,alergenos_presentes,tiempo_total_min,nivel_dificultad,ingredientes
80,Tostadas con aguacate,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Gluten,10,Principiante,"2 tajadas pan integral, 1/2 aguacate, sal, limón, tomate opcional"
81,Galletas con mantequilla de maní­,Internacional,Merienda,"Omní­voro, Vegetariano","Gluten, Nueces",5,Principiante,"6 galletas integrales, 2 cucharadas mantequilla de maní­"
82,Chontaduro con sal y miel,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,5,Principiante,"3 chontaduros cocidos, sal al gusto, miel opcional"
83,Mazamorra con leche y panela,Colombiana,Merienda,"Omní­voro, Vegetariano",Lácteos,15,Principiante,"1 taza mazamorra cocida, 200ml leche, panela al gusto"
84,Arroz con leche,Colombiana,Merienda,"Omní­voro, Vegetariano",Lácteos,30,Principiante,"1/2 taza arroz, 500ml leche, azúcar, canela, clavo, sal"
85,Ensalada de frutas,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"banano, mango, papaya, uvas, manzana al gusto, zumo de naranja opcional"
86,Salpicón de frutas,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"sandí­a, piña, uvas, banano, gaseosa o jugo de fruta, leche condensada opcional"
87,Agua de panela con limón,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,5,Principiante,"1/4 panela, 1 litro agua, limón al gusto"
88,Colada de maicena con leche,Colombiana,Merienda,"Omní­voro, Vegetariano",Lácteos,15,Principiante,"3 cucharadas maicena, 250ml leche, azúcar, canela, sal"
89,Cocada de panela,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,25,Principiante,"2 tazas coco rallado, 1 panela, agua"
90,Banano con mantequilla de maní­,Internacional,Merienda,"Omní­voro, Vegetariano",Nueces,5,Principiante,"1 banano, 2 cucharadas mantequilla de maní­"
91,Papas chorreadas,Colombiana,Almuerzo,"Omní­voro, Vegetariano",Lácteos,30,Principiante,"3 papas medianas, 100ml crema de leche, 50g queso, cebolla larga, sal, aceite"
92,Guiso de habichuela con zanahoria,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,25,Principiante,"200g habichuelas, 1 zanahoria, tomate, cebolla, ajo, sal, aceite"
93,Berenjena salteada con ajo,Internacional,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,20,Principiante,"1 berenjena, 3 dientes ajo, aceite de oliva, sal, orégano, tomate"
94,Espinaca salteada con ajo,Internacional,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"200g espinaca, 3 dientes ajo, aceite de oliva, sal, limón"
95,Brócoli al vapor con limón,Internacional,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,15,Principiante,"300g brócoli, limón, sal, aceite de oliva opcional"
96,Bowl de lentejas con arroz y aguacate,Colombiana,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,35,Principiante,"1/2 taza lentejas, 1/2 taza arroz, 1/2 aguacate, tomate, cebolla, limón, sal"
97,Tofu salteado con verduras,Internacional,Almuerzo,"Omní­voro, Vegetariano, Vegano",Ninguno,25,Principiante,"200g tofu firme, pimentón, brócoli, zanahoria, salsa soya, ajo, aceite, sal"
98,Pico de gallo colombiano,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,10,Principiante,"2 tomates, 1/4 cebolla, cilantro, limón, sal, ají­ al gusto"
99,Aguacate con sal y limón,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,5,Principiante,"1 aguacate, sal al gusto, limón al gusto"
100,Jugo de lulo natural,Colombiana,Merienda,"Omní­voro, Vegetariano, Vegano",Ninguno,5,Principiante,"3 lulos, agua, panela o azúcar al gusto"
